injury_id,player_id,player_name,team,position,injury_date,injury_description
0,1627759,Jaylen Brown,Boston Celtics,G,11/01/2017,sprained right ankle (DTD)
1,1627759,Jaylen Brown,Boston Celtics,G,13/01/2017,returned to lineup
2,1627759,Jaylen Brown,Boston Celtics,G,13/02/2017,placed on IL with strained right hip flexor
3,1627759,Jaylen Brown,Boston Celtics,G,24/02/2017,activated from IL
4,1627759,Jaylen Brown,Boston Celtics,G,06/12/2017,placed on IL with right eye inflammation
5,1627759,Jaylen Brown,Boston Celtics,G,08/12/2017,activated from IL
6,1627759,Jaylen Brown,Boston Celtics,G,21/12/2017,sore left Achilles (DTD)
7,1627759,Jaylen Brown,Boston Celtics,G,23/12/2017,returned to lineup
8,1627759,Jaylen Brown,Boston Celtics,G,27/12/2017,placed on IL
9,1627759,Jaylen Brown,Boston Celtics,G,27/12/2017,sore right knee (DTD)
10,1627759,Jaylen Brown,Boston Celtics,G,31/12/2017,activated from IL
11,1627759,Jaylen Brown,Boston Celtics,G,09/03/2018,concussion (out indefinitely)
12,1627759,Jaylen Brown,Boston Celtics,G,11/03/2018,placed on IL with concussion
13,1627759,Jaylen Brown,Boston Celtics,G,25/03/2018,activated from IL
14,1627759,Jaylen Brown,Boston Celtics,G,30/04/2018,strained right hamstring (DTD)
15,1627759,Jaylen Brown,Boston Celtics,G,03/05/2018,returned to lineup
16,1627759,Jaylen Brown,Boston Celtics,G,01/11/2018,placed on IL with sore right foot
17,1627759,Jaylen Brown,Boston Celtics,G,03/11/2018,activated from IL
18,1627759,Jaylen Brown,Boston Celtics,G,26/11/2018,placed on IL with bruised lower back
19,1627759,Jaylen Brown,Boston Celtics,G,06/12/2018,activated from IL
20,1627759,Jaylen Brown,Boston Celtics,G,12/12/2018,illness (DTD)
21,1627759,Jaylen Brown,Boston Celtics,G,14/12/2018,returned to lineup
22,1627759,Jaylen Brown,Boston Celtics,G,01/04/2019,placed on IL with lower back spasms
23,1627759,Jaylen Brown,Boston Celtics,G,07/04/2019,activated from IL
24,1627759,Jaylen Brown,Boston Celtics,G,30/10/2019,placed on IL with illness
25,1627759,Jaylen Brown,Boston Celtics,G,07/11/2019,activated from IL
26,1627759,Jaylen Brown,Boston Celtics,G,30/12/2019,illness (DTD)
27,1627759,Jaylen Brown,Boston Celtics,G,31/12/2019,placed on IL with illness
28,1627759,Jaylen Brown,Boston Celtics,G,03/01/2020,activated from IL
29,1627759,Jaylen Brown,Boston Celtics,G,16/01/2020,placed on IL with sprained right thumb
30,1627759,Jaylen Brown,Boston Celtics,G,20/01/2020,activated from IL
31,1627759,Jaylen Brown,Boston Celtics,G,22/01/2020,placed on IL with sprained right ankle
32,1627759,Jaylen Brown,Boston Celtics,G,26/01/2020,activated from IL
33,1627759,Jaylen Brown,Boston Celtics,G,07/02/2020,placed on IL with sprained right ankle
34,1627759,Jaylen Brown,Boston Celtics,G,09/02/2020,activated from IL
35,1627759,Jaylen Brown,Boston Celtics,G,13/02/2020,placed on IL with left calf injury
36,1627759,Jaylen Brown,Boston Celtics,G,20/02/2020,activated from IL
37,1627759,Jaylen Brown,Boston Celtics,G,04/03/2020,placed on IL with strained right hamstring
38,1627759,Jaylen Brown,Boston Celtics,G,29/07/2020,activated from IL
39,1627739,Kris Dunn,Boston Celtics,G,03/02/2017,right hand injury (DTD)
40,1627739,Kris Dunn,Boston Celtics,G,10/02/2017,returned to lineup
41,1627739,Kris Dunn,Boston Celtics,G,07/10/2017,dislocated left index finger (out indefinitely)
42,1627739,Kris Dunn,Boston Celtics,G,19/10/2017,placed on IL with dislocated left index finger
43,1627739,Kris Dunn,Boston Celtics,G,28/10/2017,activated from IL
44,1627739,Kris Dunn,Boston Celtics,G,29/12/2017,patellar tendinitis in left knee (DTD)
45,1627739,Kris Dunn,Boston Celtics,G,31/12/2017,returned to lineup
46,1627739,Kris Dunn,Boston Celtics,G,18/01/2018,concussion (out indefinitely)
47,1627739,Kris Dunn,Boston Celtics,G,20/01/2018,placed on IL with concussion
48,1627739,Kris Dunn,Boston Celtics,G,14/02/2018,activated from IL
49,1627739,Kris Dunn,Boston Celtics,G,16/03/2018,sprained right toe (out for season)
50,1627739,Kris Dunn,Boston Celtics,G,17/03/2018,placed on IL with sprained right toe (out for season)
51,1627739,Kris Dunn,Boston Celtics,G,23/10/2018,sprained MCL in left knee (out indefinitely)
52,1627739,Kris Dunn,Boston Celtics,G,24/10/2018,placed on IL with sprained MCL in left knee
53,1627739,Kris Dunn,Boston Celtics,G,10/12/2018,activated from IL
54,1627739,Kris Dunn,Boston Celtics,G,13/02/2019,placed on IL with bruised tailbone
55,1627739,Kris Dunn,Boston Celtics,G,22/02/2019,activated from IL
56,1627739,Kris Dunn,Boston Celtics,G,25/02/2019,placed on IL with migraine headache
57,1627739,Kris Dunn,Boston Celtics,G,27/02/2019,activated from IL
58,1627739,Kris Dunn,Boston Celtics,G,26/03/2019,strained back (out for season)
59,1627739,Kris Dunn,Boston Celtics,G,10/04/2019,placed on IL with strained back (out for season)
60,1627739,Kris Dunn,Boston Celtics,G,02/02/2020,placed on IL with sprained MCL in right knee (out for season)
61,1629605,Tacko Fall,Boston Celtics,C,22/10/2019,concussion (DTD)
62,1629605,Tacko Fall,Boston Celtics,C,26/10/2019,placed on IL with concussion
63,1629605,Tacko Fall,Boston Celtics,C,26/10/2019,activated from IL
64,1628981,Bruno Fernando,Boston Celtics,F,08/01/2020,placed on IL with strained left calf
65,1628981,Bruno Fernando,Boston Celtics,F,28/01/2020,placed on IL with strained left calf
66,1628981,Bruno Fernando,Boston Celtics,F,05/02/2020,activated from IL
